n,relation,frontiers,frontier_height,width,max_type
6,0<2;0<5,2,2,5,omega^5
6,0<1;0<2;0<5,2,2,5,omega^5
6,0<3;0<5,2,2,5,omega^5
6,0<1;0<3;0<5,2,2,5,omega^5
6,0<2;0<3;0<5,2,2,5,omega^5
6,0<1;0<2;0<3;0<5,2,2,5,omega^5
6,0<4;0<5,2,2,5,omega^5
6,0<1;0<4;0<5,2,2,5,omega^5
6,0<2;0<4;0<5,2,2,5,omega^5
6,0<1;0<2;0<4;0<5,2,2,5,omega^5
6,0<3;0<4;0<5,2,2,5,omega^5
6,0<1;0<3;0<4;0<5,2,2,5,omega^5
6,0<2;0<3;0<4;0<5,2,2,5,omega^5
6,0<1;0<2;0<3;0<4;0<5,2,2,5,omega^5
6,1<2,2,2,5,omega^5*2
6,0<2;1<2,2,2,5,omega^5 + omega^4
6,0<1;0<2;1<2,3,3,4,omega^4*3
6,0<3;1<2,4,3,4,omega^4*4
6,0<2;0<3;1<2,3,3,4,omega^4*3
6,0<1;0<2;0<3;1<2,3,3,4,omega^4*2
6,0<4;1<2,4,3,4,omega^4*4
6,0<2;0<4;1<2,3,3,4,omega^4*3
6,0<1;0<2;0<4;1<2,3,3,4,omega^4*2
6,0<3;0<4;1<2,4,3,4,omega^4*2
6,0<2;0<3;0<4;1<2,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;1<2,3,3,4,omega^4*2
6,0<5;1<2,4,3,4,omega^4*4
6,0<2;0<5;1<2,3,3,4,omega^4*3
6,0<1;0<2;0<5;1<2,3,3,4,omega^4*2
6,0<3;0<5;1<2,4,3,4,omega^4*2
6,0<2;0<3;0<5;1<2,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<5;1<2,3,3,4,omega^4*2
6,0<4;0<5;1<2,4,3,4,omega^4*2
6,0<2;0<4;0<5;1<2,3,3,4,omega^4*2
6,0<1;0<2;0<4;0<5;1<2,3,3,4,omega^4*2
6,0<3;0<4;0<5;1<2,4,3,4,omega^4*2
6,0<2;0<3;0<4;0<5;1<2,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;0<5;1<2,3,3,4,omega^4*2
6,1<3,2,2,5,omega^5*2
6,0<2;1<3,4,3,4,omega^4*4
6,0<3;1<3,2,2,5,omega^5 + omega^4
6,0<1;0<3;1<3,3,3,4,omega^4*3
6,0<2;0<3;1<3,3,3,4,omega^4*3
6,0<1;0<2;0<3;1<3,3,3,4,omega^4*2
6,0<4;1<3,4,3,4,omega^4*4
6,0<2;0<4;1<3,4,3,4,omega^4*2
6,0<3;0<4;1<3,3,3,4,omega^4*3
6,0<1;0<3;0<4;1<3,3,3,4,omega^4*2
6,0<2;0<3;0<4;1<3,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;1<3,3,3,4,omega^4*2
6,0<5;1<3,4,3,4,omega^4*4
6,0<2;0<5;1<3,4,3,4,omega^4*2
6,0<3;0<5;1<3,3,3,4,omega^4*3
6,0<1;0<3;0<5;1<3,3,3,4,omega^4*2
6,0<2;0<3;0<5;1<3,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<5;1<3,3,3,4,omega^4*2
6,0<4;0<5;1<3,4,3,4,omega^4*2
6,0<2;0<4;0<5;1<3,4,3,4,omega^4*2
6,0<3;0<4;0<5;1<3,3,3,4,omega^4*2
6,0<1;0<3;0<4;0<5;1<3,3,3,4,omega^4*2
6,0<2;0<3;0<4;0<5;1<3,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;0<5;1<3,3,3,4,omega^4*2
6,1<2;1<3,2,2,5,omega^5
6,0<2;1<2;1<3,3,3,4,omega^4*3
6,0<3;1<2;1<3,3,3,4,omega^4*3
6,0<2;0<3;1<2;1<3,2,2,4,omega^4*2
6,0<1;0<2;0<3;1<2;1<3,3,3,4,omega^4
6,0<4;1<2;1<3,4,3,4,omega^4*2
6,0<2;0<4;1<2;1<3,4,3,4,omega^4
6,0<3;0<4;1<2;1<3,4,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<3,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;1<2;1<3,3,3,4,omega^4
6,0<5;1<2;1<3,4,3,4,omega^4*2
6,0<2;0<5;1<2;1<3,4,3,4,omega^4
6,0<3;0<5;1<2;1<3,4,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<3,3,3,4,omega^4
6,0<1;0<2;0<3;0<5;1<2;1<3,3,3,4,omega^4
6,0<4;0<5;1<2;1<3,4,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<3,4,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<3,4,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<3,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3,3,3,4,omega^4
6,1<4,2,2,5,omega^5*2
6,0<2;1<4,4,3,4,omega^4*4
6,0<3;1<4,4,3,4,omega^4*4
6,0<2;0<3;1<4,4,3,4,omega^4*2
6,0<4;1<4,2,2,5,omega^5 + omega^4
6,0<1;0<4;1<4,3,3,4,omega^4*3
6,0<2;0<4;1<4,3,3,4,omega^4*3
6,0<1;0<2;0<4;1<4,3,3,4,omega^4*2
6,0<3;0<4;1<4,3,3,4,omega^4*3
6,0<1;0<3;0<4;1<4,3,3,4,omega^4*2
6,0<2;0<3;0<4;1<4,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;1<4,3,3,4,omega^4*2
6,0<5;1<4,4,3,4,omega^4*4
6,0<2;0<5;1<4,4,3,4,omega^4*2
6,0<3;0<5;1<4,4,3,4,omega^4*2
6,0<2;0<3;0<5;1<4,4,3,4,omega^4*2
6,0<4;0<5;1<4,3,3,4,omega^4*3
6,0<1;0<4;0<5;1<4,3,3,4,omega^4*2
6,0<2;0<4;0<5;1<4,3,3,4,omega^4*2
6,0<1;0<2;0<4;0<5;1<4,3,3,4,omega^4*2
6,0<3;0<4;0<5;1<4,3,3,4,omega^4*2
6,0<1;0<3;0<4;0<5;1<4,3,3,4,omega^4*2
6,0<2;0<3;0<4;0<5;1<4,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;0<5;1<4,3,3,4,omega^4*2
6,1<2;1<4,2,2,5,omega^5
6,0<2;1<2;1<4,3,3,4,omega^4*3
6,0<3;1<2;1<4,4,3,4,omega^4*2
6,0<2;0<3;1<2;1<4,4,3,4,omega^4
6,0<4;1<2;1<4,3,3,4,omega^4*3
6,0<2;0<4;1<2;1<4,2,2,4,omega^4*2
6,0<1;0<2;0<4;1<2;1<4,3,3,4,omega^4
6,0<3;0<4;1<2;1<4,4,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<4,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;1<2;1<4,3,3,4,omega^4
6,0<5;1<2;1<4,4,3,4,omega^4*2
6,0<2;0<5;1<2;1<4,4,3,4,omega^4
6,0<3;0<5;1<2;1<4,4,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<4,4,3,4,omega^4
6,0<4;0<5;1<2;1<4,4,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<4,3,3,4,omega^4
6,0<1;0<2;0<4;0<5;1<2;1<4,3,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<4,4,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<4,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<4,3,3,4,omega^4
6,1<3;1<4,2,2,5,omega^5
6,0<2;1<3;1<4,4,3,4,omega^4*2
6,0<3;1<3;1<4,3,3,4,omega^4*3
6,0<2;0<3;1<3;1<4,4,3,4,omega^4
6,0<4;1<3;1<4,3,3,4,omega^4*3
6,0<2;0<4;1<3;1<4,4,3,4,omega^4
6,0<3;0<4;1<3;1<4,2,2,4,omega^4*2
6,0<1;0<3;0<4;1<3;1<4,3,3,4,omega^4
6,0<2;0<3;0<4;1<3;1<4,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;1<3;1<4,3,3,4,omega^4
6,0<5;1<3;1<4,4,3,4,omega^4*2
6,0<2;0<5;1<3;1<4,4,3,4,omega^4
6,0<3;0<5;1<3;1<4,4,3,4,omega^4
6,0<2;0<3;0<5;1<3;1<4,4,3,4,omega^4
6,0<4;0<5;1<3;1<4,4,3,4,omega^4
6,0<2;0<4;0<5;1<3;1<4,4,3,4,omega^4
6,0<3;0<4;0<5;1<3;1<4,3,3,4,omega^4
6,0<1;0<3;0<4;0<5;1<3;1<4,3,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<3;1<4,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<3;1<4,3,3,4,omega^4
6,1<2;1<3;1<4,2,2,5,omega^5
6,0<2;1<2;1<3;1<4,3,3,4,omega^4*2
6,0<3;1<2;1<3;1<4,3,3,4,omega^4*2
6,0<2;0<3;1<2;1<3;1<4,3,3,4,omega^4
6,0<4;1<2;1<3;1<4,3,3,4,omega^4*2
6,0<2;0<4;1<2;1<3;1<4,3,3,4,omega^4
6,0<3;0<4;1<2;1<3;1<4,3,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<3;1<4,2,2,4,omega^4
6,0<1;0<2;0<3;0<4;1<2;1<3;1<4,3,3,4,omega^4
6,0<5;1<2;1<3;1<4,4,3,4,omega^4*2
6,0<2;0<5;1<2;1<3;1<4,4,3,4,omega^4
6,0<3;0<5;1<2;1<3;1<4,4,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<3;1<4,4,3,4,omega^4
6,0<4;0<5;1<2;1<3;1<4,4,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<3;1<4,4,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<3;1<4,4,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<3;1<4,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<4,3,3,4,omega^4
6,1<5,2,2,5,omega^5*2
6,0<2;1<5,4,3,4,omega^4*4
6,0<3;1<5,4,3,4,omega^4*4
6,0<2;0<3;1<5,4,3,4,omega^4*2
6,0<4;1<5,4,3,4,omega^4*4
6,0<2;0<4;1<5,4,3,4,omega^4*2
6,0<3;0<4;1<5,4,3,4,omega^4*2
6,0<2;0<3;0<4;1<5,4,3,4,omega^4*2
6,0<5;1<5,2,2,5,omega^5 + omega^4
6,0<1;0<5;1<5,3,3,4,omega^4*3
6,0<2;0<5;1<5,3,3,4,omega^4*3
6,0<1;0<2;0<5;1<5,3,3,4,omega^4*2
6,0<3;0<5;1<5,3,3,4,omega^4*3
6,0<1;0<3;0<5;1<5,3,3,4,omega^4*2
6,0<2;0<3;0<5;1<5,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<5;1<5,3,3,4,omega^4*2
6,0<4;0<5;1<5,3,3,4,omega^4*3
6,0<1;0<4;0<5;1<5,3,3,4,omega^4*2
6,0<2;0<4;0<5;1<5,3,3,4,omega^4*2
6,0<1;0<2;0<4;0<5;1<5,3,3,4,omega^4*2
6,0<3;0<4;0<5;1<5,3,3,4,omega^4*2
6,0<1;0<3;0<4;0<5;1<5,3,3,4,omega^4*2
6,0<2;0<3;0<4;0<5;1<5,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;0<5;1<5,3,3,4,omega^4*2
6,1<2;1<5,2,2,5,omega^5
6,0<2;1<2;1<5,3,3,4,omega^4*3
6,0<3;1<2;1<5,4,3,4,omega^4*2
6,0<2;0<3;1<2;1<5,4,3,4,omega^4
6,0<4;1<2;1<5,4,3,4,omega^4*2
6,0<2;0<4;1<2;1<5,4,3,4,omega^4
6,0<3;0<4;1<2;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<5,4,3,4,omega^4
6,0<5;1<2;1<5,3,3,4,omega^4*3
6,0<2;0<5;1<2;1<5,2,2,4,omega^4*2
6,0<1;0<2;0<5;1<2;1<5,3,3,4,omega^4
6,0<3;0<5;1<2;1<5,4,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<5;1<2;1<5,3,3,4,omega^4
6,0<4;0<5;1<2;1<5,4,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<5,3,3,4,omega^4
6,0<1;0<2;0<4;0<5;1<2;1<5,3,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<5,3,3,4,omega^4
6,1<3;1<5,2,2,5,omega^5
6,0<2;1<3;1<5,4,3,4,omega^4*2
6,0<3;1<3;1<5,3,3,4,omega^4*3
6,0<2;0<3;1<3;1<5,4,3,4,omega^4
6,0<4;1<3;1<5,4,3,4,omega^4*2
6,0<2;0<4;1<3;1<5,4,3,4,omega^4
6,0<3;0<4;1<3;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;1<3;1<5,4,3,4,omega^4
6,0<5;1<3;1<5,3,3,4,omega^4*3
6,0<2;0<5;1<3;1<5,4,3,4,omega^4
6,0<3;0<5;1<3;1<5,2,2,4,omega^4*2
6,0<1;0<3;0<5;1<3;1<5,3,3,4,omega^4
6,0<2;0<3;0<5;1<3;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<5;1<3;1<5,3,3,4,omega^4
6,0<4;0<5;1<3;1<5,4,3,4,omega^4
6,0<2;0<4;0<5;1<3;1<5,4,3,4,omega^4
6,0<3;0<4;0<5;1<3;1<5,3,3,4,omega^4
6,0<1;0<3;0<4;0<5;1<3;1<5,3,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<3;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<3;1<5,3,3,4,omega^4
6,1<2;1<3;1<5,2,2,5,omega^5
6,0<2;1<2;1<3;1<5,3,3,4,omega^4*2
6,0<3;1<2;1<3;1<5,3,3,4,omega^4*2
6,0<2;0<3;1<2;1<3;1<5,3,3,4,omega^4
6,0<4;1<2;1<3;1<5,4,3,4,omega^4*2
6,0<2;0<4;1<2;1<3;1<5,4,3,4,omega^4
6,0<3;0<4;1<2;1<3;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<3;1<5,4,3,4,omega^4
6,0<5;1<2;1<3;1<5,3,3,4,omega^4*2
6,0<2;0<5;1<2;1<3;1<5,3,3,4,omega^4
6,0<3;0<5;1<2;1<3;1<5,3,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<3;1<5,2,2,4,omega^4
6,0<1;0<2;0<3;0<5;1<2;1<3;1<5,3,3,4,omega^4
6,0<4;0<5;1<2;1<3;1<5,4,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<3;1<5,4,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<3;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<3;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<5,3,3,4,omega^4
6,1<4;1<5,2,2,5,omega^5
6,0<2;1<4;1<5,4,3,4,omega^4*2
6,0<3;1<4;1<5,4,3,4,omega^4*2
6,0<2;0<3;1<4;1<5,4,3,4,omega^4
6,0<4;1<4;1<5,3,3,4,omega^4*3
6,0<2;0<4;1<4;1<5,4,3,4,omega^4
6,0<3;0<4;1<4;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;1<4;1<5,4,3,4,omega^4
6,0<5;1<4;1<5,3,3,4,omega^4*3
6,0<2;0<5;1<4;1<5,4,3,4,omega^4
6,0<3;0<5;1<4;1<5,4,3,4,omega^4
6,0<2;0<3;0<5;1<4;1<5,4,3,4,omega^4
6,0<4;0<5;1<4;1<5,2,2,4,omega^4*2
6,0<1;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,0<2;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,0<1;0<2;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,0<3;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,0<1;0<3;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<4;1<5,3,3,4,omega^4
6,1<2;1<4;1<5,2,2,5,omega^5
6,0<2;1<2;1<4;1<5,3,3,4,omega^4*2
6,0<3;1<2;1<4;1<5,4,3,4,omega^4*2
6,0<2;0<3;1<2;1<4;1<5,4,3,4,omega^4
6,0<4;1<2;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<4;1<2;1<4;1<5,3,3,4,omega^4
6,0<3;0<4;1<2;1<4;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<4;1<5,4,3,4,omega^4
6,0<5;1<2;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<5;1<2;1<4;1<5,3,3,4,omega^4
6,0<3;0<5;1<2;1<4;1<5,4,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<4;1<5,4,3,4,omega^4
6,0<4;0<5;1<2;1<4;1<5,3,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<4;1<5,2,2,4,omega^4
6,0<1;0<2;0<4;0<5;1<2;1<4;1<5,3,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<4;1<5,4,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<4;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<4;1<5,3,3,4,omega^4
6,1<3;1<4;1<5,2,2,5,omega^5
6,0<2;1<3;1<4;1<5,4,3,4,omega^4*2
6,0<3;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<3;1<3;1<4;1<5,4,3,4,omega^4
6,0<4;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<4;1<3;1<4;1<5,4,3,4,omega^4
6,0<3;0<4;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<4;1<3;1<4;1<5,4,3,4,omega^4
6,0<5;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<5;1<3;1<4;1<5,4,3,4,omega^4
6,0<3;0<5;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<5;1<3;1<4;1<5,4,3,4,omega^4
6,0<4;0<5;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<4;0<5;1<3;1<4;1<5,4,3,4,omega^4
6,0<3;0<4;0<5;1<3;1<4;1<5,2,2,4,omega^4
6,0<1;0<3;0<4;0<5;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<3;1<4;1<5,3,3,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<3;1<4;1<5,3,3,4,omega^4
6,1<2;1<3;1<4;1<5,2,2,5,omega^5
6,0<2;1<2;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<3;1<2;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<3;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<4;1<2;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<4;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<3;0<4;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<4;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4*2
6,0<2;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<3;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<4;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<4;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<3;0<4;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5,2,2,4,omega^4
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<4;1<5,3,3,4,omega^4
6,2<3,2,2,5,omega^5*2
6,0<1;2<3,4,3,4,omega^4*4
6,0<3;2<3,2,2,5,omega^5 + omega^4
6,0<1;0<3;2<3,3,3,4,omega^4*3
6,0<2;0<3;2<3,3,3,4,omega^4*3
6,0<1;0<2;0<3;2<3,3,3,4,omega^4*2
6,0<4;2<3,4,3,4,omega^4*4
6,0<1;0<4;2<3,4,3,4,omega^4*2
6,0<3;0<4;2<3,3,3,4,omega^4*3
6,0<1;0<3;0<4;2<3,3,3,4,omega^4*2
6,0<2;0<3;0<4;2<3,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;2<3,3,3,4,omega^4*2
6,0<5;2<3,4,3,4,omega^4*4
6,0<1;0<5;2<3,4,3,4,omega^4*2
6,0<3;0<5;2<3,3,3,4,omega^4*3
6,0<1;0<3;0<5;2<3,3,3,4,omega^4*2
6,0<2;0<3;0<5;2<3,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<5;2<3,3,3,4,omega^4*2
6,0<4;0<5;2<3,4,3,4,omega^4*2
6,0<1;0<4;0<5;2<3,4,3,4,omega^4*2
6,0<3;0<4;0<5;2<3,3,3,4,omega^4*2
6,0<1;0<3;0<4;0<5;2<3,3,3,4,omega^4*2
6,0<2;0<3;0<4;0<5;2<3,3,3,4,omega^4*2
6,0<1;0<2;0<3;0<4;0<5;2<3,3,3,4,omega^4*2
6,1<3;2<3,2,2,5,omega^5 + omega^4
6,0<3;1<3;2<3,2,2,5,omega^5 + omega^3
6,0<1;0<3;1<3;2<3,3,3,4,omega^4*2 + omega^3
6,0<2;0<3;1<3;2<3,3,3,4,omega^4*2 + omega^3
6,0<1;0<2;0<3;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<4;1<3;2<3,4,3,4,omega^4*2 + omega^3*2
6,0<3;0<4;1<3;2<3,3,3,4,omega^4*2 + omega^3
6,0<1;0<3;0<4;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<2;0<3;0<4;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<1;0<2;0<3;0<4;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<5;1<3;2<3,4,3,4,omega^4*2 + omega^3*2
6,0<3;0<5;1<3;2<3,3,3,4,omega^4*2 + omega^3
6,0<1;0<3;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<2;0<3;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<1;0<2;0<3;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<4;0<5;1<3;2<3,4,3,4,omega^4 + omega^3
6,0<3;0<4;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<1;0<3;0<4;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<2;0<3;0<4;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,0<1;0<2;0<3;0<4;0<5;1<3;2<3,3,3,4,omega^4 + omega^3
6,1<2;1<3;2<3,3,3,4,omega^4*3
6,0<3;1<2;1<3;2<3,3,3,4,omega^4*2 + omega^3
6,0<2;0<3;1<2;1<3;2<3,3,3,4,omega^4 + omega^3*2
6,0<1;0<2;0<3;1<2;1<3;2<3,4,4,3,omega^3*4
6,0<4;1<2;1<3;2<3,6,4,3,omega^3*6
6,0<3;0<4;1<2;1<3;2<3,5,4,3,omega^3*5
6,0<2;0<3;0<4;1<2;1<3;2<3,4,4,3,omega^3*4
6,0<1;0<2;0<3;0<4;1<2;1<3;2<3,4,4,3,omega^3*3
6,0<5;1<2;1<3;2<3,6,4,3,omega^3*6
6,0<3;0<5;1<2;1<3;2<3,5,4,3,omega^3*5
6,0<2;0<3;0<5;1<2;1<3;2<3,4,4,3,omega^3*4
6,0<1;0<2;0<3;0<5;1<2;1<3;2<3,4,4,3,omega^3*3
6,0<4;0<5;1<2;1<3;2<3,6,4,3,omega^3*3
6,0<3;0<4;0<5;1<2;1<3;2<3,5,4,3,omega^3*3
6,0<2;0<3;0<4;0<5;1<2;1<3;2<3,4,4,3,omega^3*3
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;2<3,4,4,3,omega^3*3
6,1<4;2<3,4,3,4,omega^4*4
6,0<3;1<4;2<3,4,3,4,omega^4*2 + omega^3*2
6,0<2;0<3;1<4;2<3,6,4,3,omega^3*6
6,0<4;1<4;2<3,4,3,4,omega^4*2 + omega^3*2
6,0<1;0<4;1<4;2<3,6,4,3,omega^3*6
6,0<3;0<4;1<4;2<3,4,3,4,omega^4 + omega^3*3
6,0<1;0<3;0<4;1<4;2<3,5,4,3,omega^3*5
6,0<2;0<3;0<4;1<4;2<3,5,4,3,omega^3*5
6,0<1;0<2;0<3;0<4;1<4;2<3,5,4,3,omega^3*4
6,0<5;1<4;2<3,8,4,3,omega^3*8
6,0<3;0<5;1<4;2<3,6,4,3,omega^3*6
6,0<2;0<3;0<5;1<4;2<3,6,4,3,omega^3*4
6,0<4;0<5;1<4;2<3,6,4,3,omega^3*6
6,0<1;0<4;0<5;1<4;2<3,6,4,3,omega^3*4
6,0<3;0<4;0<5;1<4;2<3,5,4,3,omega^3*5
6,0<1;0<3;0<4;0<5;1<4;2<3,5,4,3,omega^3*4
6,0<2;0<3;0<4;0<5;1<4;2<3,5,4,3,omega^3*4
6,0<1;0<2;0<3;0<4;0<5;1<4;2<3,5,4,3,omega^3*4
6,1<3;1<4;2<3,3,3,4,omega^4*3
6,0<3;1<3;1<4;2<3,3,3,4,omega^4*2 + omega^3
6,0<2;0<3;1<3;1<4;2<3,5,4,3,omega^3*5
6,0<4;1<3;1<4;2<3,4,3,4,omega^4 + omega^3*3
6,0<3;0<4;1<3;1<4;2<3,3,3,4,omega^4 + omega^3*2
6,0<1;0<3;0<4;1<3;1<4;2<3,4,4,3,omega^3*4
6,0<2;0<3;0<4;1<3;1<4;2<3,4,4,3,omega^3*4
6,0<1;0<2;0<3;0<4;1<3;1<4;2<3,4,4,3,omega^3*3
6,0<5;1<3;1<4;2<3,6,4,3,omega^3*6
6,0<3;0<5;1<3;1<4;2<3,5,4,3,omega^3*5
6,0<2;0<3;0<5;1<3;1<4;2<3,5,4,3,omega^3*3
6,0<4;0<5;1<3;1<4;2<3,5,4,3,omega^3*4
6,0<3;0<4;0<5;1<3;1<4;2<3,4,4,3,omega^3*4
6,0<1;0<3;0<4;0<5;1<3;1<4;2<3,4,4,3,omega^3*3
6,0<2;0<3;0<4;0<5;1<3;1<4;2<3,4,4,3,omega^3*3
6,0<1;0<2;0<3;0<4;0<5;1<3;1<4;2<3,4,4,3,omega^3*3
6,1<2;1<3;1<4;2<3,3,3,4,omega^4*2
6,0<3;1<2;1<3;1<4;2<3,3,3,4,omega^4 + omega^3
6,0<2;0<3;1<2;1<3;1<4;2<3,4,4,3,omega^3*4
6,0<4;1<2;1<3;1<4;2<3,5,4,3,omega^3*5
6,0<3;0<4;1<2;1<3;1<4;2<3,4,4,3,omega^3*4
6,0<2;0<3;0<4;1<2;1<3;1<4;2<3,3,3,3,omega^3*3
6,0<1;0<2;0<3;0<4;1<2;1<3;1<4;2<3,4,4,3,omega^3*2
6,0<5;1<2;1<3;1<4;2<3,6,4,3,omega^3*4
6,0<3;0<5;1<2;1<3;1<4;2<3,5,4,3,omega^3*3
6,0<2;0<3;0<5;1<2;1<3;1<4;2<3,5,4,3,omega^3*2
6,0<4;0<5;1<2;1<3;1<4;2<3,6,4,3,omega^3*2
6,0<3;0<4;0<5;1<2;1<3;1<4;2<3,5,4,3,omega^3*2
6,0<2;0<3;0<4;0<5;1<2;1<3;1<4;2<3,4,4,3,omega^3*2
6,0<1;0<2;0<3;0<4;0<5;1<2;1<3;1<4;2<3,4,4,3,omega^3*2
6,1<5;2<3,4,3,4,omega^4*4
6,0<3;1<5;2<3,4,3,4,omega^4*2 + omega^3*2
